"id","nombre","puntos","link","diff","mods","clear"
1,"HYUKOH - TOMBOY","10","https://osu.ppy.sh/beatmapsets/1679665#mania/3431467","[24, memento mori]","NOMOD","99%"
2,"ARM(IOSYS) - Marisa wa Taihen na Mono wo Nusunde Ikimashita","10","https://osu.ppy.sh/beatmapsets/1062298#mania/2224394","[SVanghai Doll]","NOMOD","96%"
3,"SOPHIE - LEMONADE","10","https://osu.ppy.sh/beatmapsets/1789354#mania/3671135","[INSANE]","NOMOD","99%"
4,"SOPHIE - LEMONADE","5","https://osu.ppy.sh/beatmapsets/1789354#mania/3671135","[HARD","HR","99%"
5,"Jessie Ware - Spotlight","10","https://osu.ppy.sh/beatmapsets/1547705#mania/3162836","Longing","NOMOD","99%"
6,"Blitz Lunar - Heavenly Spores","5","https://osu.ppy.sh/beatmapsets/1919091#mania/3960208","[Chipstream 1.1x (124bpm)]","NOMOD","95%"
7,"John Wasson - Caravan","35","https://osu.ppy.sh/beatmapsets/1086739#mania/2272532","[drown]","NOMOD","FC "
8,"Silentroom - Nhelv","75","https://osu.ppy.sh/beatmapsets/1946613#mania/4027357","siseneg","NOMOD","PASS"
9,"MOKA - Lilium","40","https://osu.ppy.sh/beatmapsets/1787596#mania/3662381","Evangelium","NOMOD","PASS"
10,"Camellia - Looking for Edge of Ground","55","https://osu.ppy.sh/beatmapsets/1170194#mania/2441268","[System.NullReferenceExceptionExtend]","NOMOD","95%"
11,"HAG - Colorful (Cut Ver.)","15","https://osu.ppy.sh/beatmapsets/991257#mania/2247599","[Coloured [96] [x1.0]]","HR","SS"
12,"Laszlo - Tribal","10","https://osu.ppy.sh/beatmapsets/1381489#mania/2854334","Observance","HR","95%"
13,"Dev/Null - Zombie Sunset","20","https://osu.ppy.sh/beatmapsets/905658#mania/2443773","[Apocalypse]","NOMOD","FC"
14,"Katagiri - Angel'S Salad ('Le mythe etendu' ver.)","45","https://osu.ppy.sh/beatmapsets/1338008#mania/2875457","[indifference]","NOMOD","FC"
15,"Jakob Gimpel - The Cat Concerto","8","https://osu.ppy.sh/beatmapsets/1039073#mania/2185191","sober play","NOMOD","95%"
16,"Tech N9ne feat. Eminem & Krizz Kaliko - Speedom","40","https://osu.ppy.sh/beatmapsets/1436332#mania/2955311","[Skwid challenge 1.1x]","NOMOD","99%"
17,"minion tupac - Drake Found Dead 1994","20","https://osu.ppy.sh/beatmapsets/1625454#mania/3318735","Drake's Challenge 1994","NOMOD","95%"
18,"Doin - Pine nut ","90","https://osu.ppy.sh/beatmapsets/704546#mania/1490386"," [ATTang's Lv.27]","NOMOD","98%"
19,"Sabicas - Carcelera - Reflejo Andaluz","8","https://osu.ppy.sh/beatmapsets/1848977#mania/3798177","[de_inferno]","HR","SS"
20,"Bladee & Ecoo2K - Girls Just Want to Have Fun","9","https://osu.ppy.sh/beatmapsets/1903289#mania/3924142","Everlasting","NOMOD","96%"
21,"t+pazolite - Dancer in the Smoke","40","https://osu.ppy.sh/beatmapsets/1460064#mania/3000142","[complicao]","NOMOD","97.5%"
